date,bank,currency,buy,sale
19.09.2025,PrivateBank,USD,40.9,41.4937759336
20.09.2025,PrivateBank,USD,41.05,41.6666666667
21.09.2025,PrivateBank,USD,41.05,41.6666666667
22.09.2025,PrivateBank,USD,41.05,41.6666666667
23.09.2025,PrivateBank,USD,41.05,41.6666666667
24.09.2025,PrivateBank,USD,41.1,41.6666666667
25.09.2025,PrivateBank,USD,41.1,41.6666666667
26.09.2025,PrivateBank,USD,41.15,41.6666666667
27.09.2025,PrivateBank,USD,41.15,41.6666666667
28.09.2025,PrivateBank,USD,41.15,41.6666666667
29.09.2025,PrivateBank,USD,41.15,41.6666666667
30.09.2025,PrivateBank,USD,41.05,41.6666666667
01.10.2025,PrivateBank,USD,40.85,41.4937759336
02.10.2025,PrivateBank,USD,40.9,41.4937759336
03.10.2025,PrivateBank,USD,40.9,41.4937759336
04.10.2025,PrivateBank,USD,41.05,41.6666666667
05.10.2025,PrivateBank,USD,41.05,41.6666666667
06.10.2025,PrivateBank,USD,41.05,41.6666666667
07.10.2025,PrivateBank,USD,41,41.4937759336
08.10.2025,PrivateBank,USD,41,41.4937759336
09.10.2025,PrivateBank,USD,41.15,41.6666666667
10.10.2025,PrivateBank,USD,41.15,41.6666666667
11.10.2025,PrivateBank,USD,41.35,41.8410041841
12.10.2025,PrivateBank,USD,41.35,41.8410041841
13.10.2025,PrivateBank,USD,41.35,41.8410041841
14.10.2025,PrivateBank,USD,41.35,41.8410041841
15.10.2025,PrivateBank,USD,41.45,42.0168067227
16.10.2025,PrivateBank,USD,41.35,41.8410041841
17.10.2025,PrivateBank,USD,41.49,42.0168067227
18.10.2025,PrivateBank,USD,41.5,42.0168067227
19.10.2025,PrivateBank,USD,41.5,42.0168067227
18.10.2025,OschadBank,USD,41.5500,42.0500
17.10.2025,OschadBank,USD,41.5000,42.0500
16.10.2025,OschadBank,USD,41.5000,42.0000
15.10.2025,OschadBank,USD,41.5000,42.1000
14.10.2025,OschadBank,USD,41.3000,41.9500
11.10.2025,OschadBank,USD,41.3000,41.9500
10.10.2025,OschadBank,USD,41.2500,41.8500
09.10.2025,OschadBank,USD,41.1500,41.7500
08.10.2025,OschadBank,USD,41.1000,41.6500
07.10.2025,OschadBank,USD,41.1500,41.7000
06.10.2025,OschadBank,USD,41.1000,41.7000
04.10.2025,OschadBank,USD,41.0500,41.6500
03.10.2025,OschadBank,USD,41.0500,41.6500
02.10.2025,OschadBank,USD,41.0500,41.6500
01.10.2025,OschadBank,USD,41.0000,41.6000
30.09.2025,OschadBank,USD,41.1000,41.7000
27.09.2025,OschadBank,USD,41.2500,41.7000
26.09.2025,OschadBank,USD,41.2500,41.7500
25.09.2025,OschadBank,USD,41.1500,41.7000
24.09.2025,OschadBank,USD,41.1000,41.6500
23.09.2025,OschadBank,USD,41.1000,41.6500
22.09.2025,OschadBank,USD,41.1000,41.6500
20.09.2025,OschadBank,USD,41.0000,41.5500
12.10.2025,PrivateBank,EUR,41.35,41.8410041841
13.10.2025,PrivateBank,EUR,41.35,41.8410041841
14.10.2025,PrivateBank,EUR,41.35,41.8410041841
15.10.2025,PrivateBank,EUR,41.45,42.0168067227
16.10.2025,PrivateBank,EUR,41.35,41.8410041841
17.10.2025,PrivateBank,EUR,41.49,42.0168067227
18.10.2025,PrivateBank,EUR,41.5,42.0168067227
19.10.2025,PrivateBank,EUR,41.5,42.0168067227
18.10.2025,OschadBank,EUR,48.4000,49.3500
17.10.2025,OschadBank,EUR,48.4000,49.3000
16.10.2025,OschadBank,EUR,48.2000,49.1000
15.10.2025,OschadBank,EUR,48.2000,49.1000
14.10.2025,OschadBank,EUR,48.0000,48.8500
11.10.2025,OschadBank,EUR,47.9000,48.8000
10.10.2025,OschadBank,EUR,48.0000,48.8500
09.10.2025,OschadBank,EUR,48.0000,48.9000
08.10.2025,OschadBank,EUR,48.0000,48.9000
07.10.2025,OschadBank,EUR,48.0000,48.9000
06.10.2025,OschadBank,EUR,48.0500,48.9500
04.10.2025,OschadBank,EUR,48.0500,48.9500
03.10.2025,OschadBank,EUR,48.0500,48.9500
02.10.2025,OschadBank,EUR,48.0500,48.9500
01.10.2025,OschadBank,EUR,48.0500,48.9500
30.09.2025,OschadBank,EUR,48.2000,49.0500
27.09.2025,OschadBank,EUR,48.2000,49.0500
26.09.2025,OschadBank,EUR,48.4000,49.3000
25.09.2025,OschadBank,EUR,48.4000,49.3000
24.09.2025,OschadBank,EUR,48.4500,49.3000
23.09.2025,OschadBank,EUR,48.4000,49.2500
22.09.2025,OschadBank,EUR,48.2000,49.1000
20.09.2025,OschadBank,EUR,48.2000,49.1000
