date,bank,currency,buy,sale
19.09.2025,PrivateBank,USD,40.9,41.4937759336
20.09.2025,PrivateBank,USD,41.05,41.6666666667
21.09.2025,PrivateBank,USD,41.05,41.6666666667
22.09.2025,PrivateBank,USD,41.05,41.6666666667
23.09.2025,PrivateBank,USD,41.05,41.6666666667
24.09.2025,PrivateBank,USD,41.1,41.6666666667
25.09.2025,PrivateBank,USD,41.1,41.6666666667
26.09.2025,PrivateBank,USD,41.15,41.6666666667
27.09.2025,PrivateBank,USD,41.15,41.6666666667
28.09.2025,PrivateBank,USD,41.15,41.6666666667
29.09.2025,PrivateBank,USD,41.15,41.6666666667
30.09.2025,PrivateBank,USD,41.05,41.6666666667
01.10.2025,PrivateBank,USD,40.85,41.4937759336
02.10.2025,PrivateBank,USD,40.9,41.4937759336
03.10.2025,PrivateBank,USD,40.9,41.4937759336
04.10.2025,PrivateBank,USD,41.05,41.6666666667
05.10.2025,PrivateBank,USD,41.05,41.6666666667
06.10.2025,PrivateBank,USD,41.05,41.6666666667
07.10.2025,PrivateBank,USD,41,41.4937759336
08.10.2025,PrivateBank,USD,41,41.4937759336
09.10.2025,PrivateBank,USD,41.15,41.6666666667
10.10.2025,PrivateBank,USD,41.15,41.6666666667
11.10.2025,PrivateBank,USD,41.35,41.8410041841
12.10.2025,PrivateBank,USD,41.35,41.8410041841
13.10.2025,PrivateBank,USD,41.35,41.8410041841
14.10.2025,PrivateBank,USD,41.35,41.8410041841
15.10.2025,PrivateBank,USD,41.45,42.0168067227
16.10.2025,PrivateBank,USD,41.35,41.8410041841
17.10.2025,PrivateBank,USD,41.49,42.0168067227
18.10.2025,PrivateBank,USD,41.5,42.0168067227
19.10.2025,PrivateBank,USD,41.5,42.0168067227
18.10.2025,OschadBank,USD,41.5500,42.0500
17.10.2025,OschadBank,USD,41.5000,42.0500
16.10.2025,OschadBank,USD,41.5000,42.0000
15.10.2025,OschadBank,USD,41.5000,42.1000
14.10.2025,OschadBank,USD,41.3000,41.9500
11.10.2025,OschadBank,USD,41.3000,41.9500
10.10.2025,OschadBank,USD,41.2500,41.8500
09.10.2025,OschadBank,USD,41.1500,41.7500
19.09.2025,PrivateBank,EUR,48.22,49.2610837438
20.09.2025,PrivateBank,EUR,48.22,49.0196078431
21.09.2025,PrivateBank,EUR,48.22,49.0196078431
22.09.2025,PrivateBank,EUR,48.22,49.0196078431
23.09.2025,PrivateBank,EUR,48.36,49.0196078431
24.09.2025,PrivateBank,EUR,48.48,49.2610837438
25.09.2025,PrivateBank,EUR,48.25,49.2610837438
26.09.2025,PrivateBank,EUR,48.14,49.0196078431
27.09.2025,PrivateBank,EUR,48.1,49.0196078431
28.09.2025,PrivateBank,EUR,48.1,49.0196078431
29.09.2025,PrivateBank,EUR,48.1,49.0196078431
30.09.2025,PrivateBank,EUR,48.2,49.0196078431
01.10.2025,PrivateBank,EUR,47.93,48.7804878049
02.10.2025,PrivateBank,EUR,48.06,48.7804878049
03.10.2025,PrivateBank,EUR,48.06,48.7804878049
04.10.2025,PrivateBank,EUR,48.18,49.0196078431
05.10.2025,PrivateBank,EUR,48.18,49.0196078431
06.10.2025,PrivateBank,EUR,48.18,49.0196078431
07.10.2025,PrivateBank,EUR,47.93,48.7804878049
08.10.2025,PrivateBank,EUR,47.8,48.7804878049
09.10.2025,PrivateBank,EUR,47.87,48.5436893204
10.10.2025,PrivateBank,EUR,47.77,48.5436893204
11.10.2025,PrivateBank,EUR,47.85,48.5436893204
12.10.2025,PrivateBank,EUR,47.85,48.5436893204
13.10.2025,PrivateBank,EUR,47.85,48.5436893204
14.10.2025,PrivateBank,EUR,47.8,48.5436893204
15.10.2025,PrivateBank,EUR,47.87,48.7804878049
16.10.2025,PrivateBank,EUR,48.03,48.7804878049
17.10.2025,PrivateBank,EUR,48.36,49.0196078431
18.10.2025,PrivateBank,EUR,48.46,49.2610837438
19.10.2025,PrivateBank,EUR,48.46,49.2610837438
18.10.2025,OschadBank,EUR,48.4000,49.3500
17.10.2025,OschadBank,EUR,48.4000,49.3000
16.10.2025,OschadBank,EUR,48.2000,49.1000
15.10.2025,OschadBank,EUR,48.2000,49.1000
14.10.2025,OschadBank,EUR,48.0000,48.8500
11.10.2025,OschadBank,EUR,47.9000,48.8000
10.10.2025,OschadBank,EUR,48.0000,48.8500
09.10.2025,OschadBank,EUR,48.0000,48.9000
08.10.2025,OschadBank,EUR,48.0000,48.9000
07.10.2025,OschadBank,EUR,48.0000,48.9000
06.10.2025,OschadBank,EUR,48.0500,48.9500
04.10.2025,OschadBank,EUR,48.0500,48.9500
03.10.2025,OschadBank,EUR,48.0500,48.9500
02.10.2025,OschadBank,EUR,48.0500,48.9500
01.10.2025,OschadBank,EUR,48.0500,48.9500
30.09.2025,OschadBank,EUR,48.2000,49.0500
27.09.2025,OschadBank,EUR,48.2000,49.0500
26.09.2025,OschadBank,EUR,48.4000,49.3000
25.09.2025,OschadBank,EUR,48.4000,49.3000
24.09.2025,OschadBank,EUR,48.4500,49.3000
23.09.2025,OschadBank,EUR,48.4000,49.2500
22.09.2025,OschadBank,EUR,48.2000,49.1000
20.09.2025,OschadBank,EUR,48.2000,49.1000
