date,bank,name,buy,sale
14.09.2025,Pri,USD,41,41.4937759336
15.09.2025,Pri,USD,41,41.4937759336
16.09.2025,Pri,USD,40.9,41.4937759336
17.09.2025,Pri,USD,40.85,41.4937759336
18.09.2025,Pri,USD,40.9,41.4937759336
19.09.2025,Pri,USD,40.9,41.4937759336
20.09.2025,Pri,USD,41.05,41.6666666667
21.09.2025,Pri,USD,41.05,41.6666666667
22.09.2025,Pri,USD,41.05,41.6666666667
23.09.2025,Pri,USD,41.05,41.6666666667
24.09.2025,Pri,USD,41.1,41.6666666667
25.09.2025,Pri,USD,41.1,41.6666666667
26.09.2025,Pri,USD,41.15,41.6666666667
27.09.2025,Pri,USD,41.15,41.6666666667
28.09.2025,Pri,USD,41.15,41.6666666667
29.09.2025,Pri,USD,41.15,41.6666666667
30.09.2025,Pri,USD,41.05,41.6666666667
01.10.2025,Pri,USD,40.85,41.4937759336
02.10.2025,Pri,USD,40.9,41.4937759336
03.10.2025,Pri,USD,40.9,41.4937759336
04.10.2025,Pri,USD,41.05,41.6666666667
05.10.2025,Pri,USD,41.05,41.6666666667
06.10.2025,Pri,USD,41.05,41.6666666667
06.10.2025,Pri,USD,41,41.4937759336
07.10.2025,Pri,USD,41,41.4937759336
08.10.2025,Pri,USD,41,41.4937759336
08.10.2025,Pri,USD,41.1,41.6666666667
09.10.2025,Pri,USD,41.15,41.6666666667
10.10.2025,Pri,USD,41.15,41.6666666667
10.10.2025,Pri,USD,41.25,41.8410041841
11.10.2025,Pri,USD,41.35,41.8410041841
12.10.2025,Pri,USD,41.35,41.8410041841
13.10.2025,Pri,USD,41.35,41.8410041841
14.10.2025,Pri,USD,41.35,41.8410041841
