date,bank,name,buy,sale
15.10.2025,Pril,USD,41.5000,42.1000
15.10.2025,Pril,USD,41.5000,42.1000
14.10.2025,Pril,USD,41.3000,41.9500
14.10.2025,Pril,USD,41.3000,41.9500
11.10.2025,Pril,USD,41.3000,41.9500
10.10.2025,Pril,USD,41.2500,41.8500
10.10.2025,Pril,USD,41.2000,41.8000
09.10.2025,Pril,USD,41.1500,41.7500
09.10.2025,Pril,USD,41.1500,41.7500
08.10.2025,Pril,USD,41.1000,41.6500
07.10.2025,Pril,USD,41.1500,41.7000
06.10.2025,Pril,USD,41.1000,41.7000
04.10.2025,Pril,USD,41.0500,41.6500
03.10.2025,Pril,USD,41.0500,41.6500
02.10.2025,Pril,USD,41.0500,41.6500
01.10.2025,Pril,USD,41.0000,41.6000
30.09.2025,Pril,USD,41.1000,41.7000
27.09.2025,Pril,USD,41.2500,41.7000
26.09.2025,Pril,USD,41.2500,41.7500
25.09.2025,Pril,USD,41.1500,41.7000
24.09.2025,Pril,USD,41.1000,41.6500
23.09.2025,Pril,USD,41.1000,41.6500
23.09.2025,Pril,USD,41.1000,41.6500
22.09.2025,Pril,USD,41.1000,41.6500
20.09.2025,Pril,USD,41.0000,41.5500
19.09.2025,Pril,USD,41.0000,41.5500
03.10.2025,Pril,USD,41.0500,41.6500
02.10.2025,Pril,USD,41.0500,41.6500
01.10.2025,Pril,USD,41.0000,41.6000
30.09.2025,Pril,USD,41.1000,41.7000
27.09.2025,Pril,USD,41.2500,41.7000
26.09.2025,Pril,USD,41.2500,41.7500
25.09.2025,Pril,USD,41.1500,41.7000
24.09.2025,Pril,USD,41.1000,41.6500
23.09.2025,Pril,USD,41.1000,41.6500
23.09.2025,Pril,USD,41.1000,41.6500
22.09.2025,Pril,USD,41.1000,41.6500
20.09.2025,Pril,USD,41.0000,41.5500
19.09.2025,Pril,USD,41.0000,41.5500
18.09.2025,Pril,USD,41.0000,41.5500
17.09.2025,Pril,USD,41.0000,41.5500
17.09.2025,Pril,USD,41.0000,41.5500
16.09.2025,Pril,USD,41.0000,41.5500
16.09.2025,Pril,USD,41.0000,41.5500
